物质,晶体类型,温度,晶格能
CaO,FCC,1500℃,0.49086
CaO,FCC,1400℃,0.49019
CaO,FCC,1150℃,0.48853
CaO,FCC,1000℃,0.48753
CaO,FCC,850℃,0.48654
CaO,FCC,750℃,0.48587
CaO,FCC,25℃,0.48105
CaS,FCC,1500℃,0.58158
CaS,FCC,1400℃,0.58073
CaS,FCC,1150℃,0.5786
CaS,FCC,1000℃,0.57733
CaS,FCC,850℃,0.57605
CaS,FCC,750℃,0.5752
CaS,FCC,25℃,0.56903
MgO,FCC,1500℃,0.4306
MgO,FCC,1400℃,0.42996
MgO,FCC,1150℃,0.42835
MgO,FCC,1000℃,0.42739
MgO,FCC,850℃,0.42642
MgO,FCC,750℃,0.42578
MgO,FCC,25℃,0.42112
MgS,FCC,1500℃,0.5318
MgS,FCC,1400℃,0.53102
MgS,FCC,1150℃,0.52908
MgS,FCC,1000℃,0.52791
MgS,FCC,850℃,0.52675
MgS,FCC,750℃,0.52597
MgS,FCC,25℃,0.52033
MnO,FCC,1500℃,0.45517
MnO,FCC,1400℃,0.45445
MnO,FCC,1150℃,0.45265
MnO,FCC,1000℃,0.45158
MnO,FCC,850℃,0.4505
MnO,FCC,750℃,0.44978
MnO,FCC,25℃,0.44457
MnS,FCC,1500℃,0.53651
MnS,FCC,1400℃,0.53555
MnS,FCC,1150℃,0.53315
MnS,FCC,1000℃,0.5317
MnS,FCC,850℃,0.53026
MnS,FCC,750℃,0.5293
MnS,FCC,25℃,0.52233
TiC,FCC,1500℃,0.43783
TiC,FCC,1400℃,0.43747
TiC,FCC,1150℃,0.43658
TiC,FCC,1000℃,0.43605
TiC,FCC,850℃,0.43551
TiC,FCC,750℃,0.43516
TiC,FCC,25℃,0.43257
TiN,FCC,1500℃,0.43055
TiN,FCC,1400℃,0.43012
TiN,FCC,1150℃,0.42904
TiN,FCC,1000℃,0.42839
TiN,FCC,850℃,0.42775
TiN,FCC,750℃,0.42732
TiN,FCC,25℃,0.42419
TiO,FCC,1500℃,0.42624
TiO,FCC,1400℃,0.42567
TiO,FCC,1150℃,0.42424
TiO,FCC,1000℃,0.42338
TiO,FCC,850℃,0.42252
TiO,FCC,750℃,0.42195
TiO,FCC,25℃,0.41796
VC,FCC,1500℃,0.42271
VC,FCC,1400℃,0.42242
VC,FCC,1150℃,0.42165
VC,FCC,1000℃,0.42118
VC,FCC,850℃,0.42072
VC,FCC,750℃,0.42041
VC,FCC,25℃,0.41819
VN,FCC,1500℃,0.41907
VN,FCC,1400℃,0.41873
VN,FCC,1150℃,0.41786
VN,FCC,1000℃,0.41734
VN,FCC,850℃,0.41683
VN,FCC,750℃,0.41648
VN,FCC,25℃,0.41398
γ- Fe,FCC,1500℃,0.3696
γ- Fe,FCC,1400℃,0.36874
γ- Fe,FCC,1150℃,0.36662
γ- Fe,FCC,1000℃,0.36535
γ- Fe,FCC,850℃,0.36408
γ- Fe,FCC,750℃,0.36323
γ- Fe,FCC,25℃,0.36456
δ-Fe,BCC,1500℃,0.29474
δ-Fe,BCC,1400℃,0.29413
δ-Fe,BCC,1150℃,0.2926
δ-Fe,BCC,1000℃,0.29169
δ-Fe,BCC,850℃,0.29077
δ-Fe,BCC,750℃,0.29016
δ-Fe,BCC,25℃,0.286
α-Fe,BCC,1500℃,0.29289
α-Fe,BCC,1400℃,0.2925
α-Fe,BCC,1150℃,0.29143
α-Fe,BCC,1000℃,0.29079
α-Fe,BCC,850℃,0.29015
α-Fe,BCC,750℃,0.28972
α-Fe,BCC,25℃,0.28665
Al2O3,刚玉,1500℃,0.48224
Al2O3,刚玉,1400℃,0.48181
Al2O3,刚玉,1150℃,0.48073
Al2O3,刚玉,1000℃,0.48009
Al2O3,刚玉,850℃,0.47944
Al2O3,刚玉,750℃,0.47901
Al2O3,刚玉,25℃,0.47589
Ti2O3,刚玉,1500℃,0.51251
Ti2O3,刚玉,1400℃,0.51206
Ti2O3,刚玉,1150℃,0.51093
Ti2O3,刚玉,1000℃,0.51025
Ti2O3,刚玉,850℃,0.50957
Ti2O3,刚玉,750℃,0.50912
Ti2O3,刚玉,25℃,0.50584
TiO2,金红石,1500℃,0.4655
TiO2,金红石,1400℃,0.465078861
TiO2,金红石,1150℃,0.464026013
TiO2,金红石,1000℃,0.463394305
TiO2,金红石,850℃,0.462762596
TiO2,金红石,750℃,0.462341457
TiO2,金红石,25℃,0.45937
SiO2,β-方石英,1500℃,0.50173
SiO2,β-方石英,1400℃,0.501426986
SiO2,β-方石英,1150℃,0.500669449
SiO2,β-方石英,1000℃,0.500214928
SiO2,β-方石英,850℃,0.499760406
SiO2,β-方石英,750℃,0.499457392
SiO2,β-方石英,25℃,0.4973
