1,1,1500,0.49086
1,1,1400,0.49019
1,1,1150,0.48853
1,1,1000,0.48753
1,1,850,0.48654
1,1,750,0.48587
1,1,25,0.48105
2,1,1500,0.58158
2,1,1400,0.58073
2,1,1150,0.5786
2,1,1000,0.57733
2,1,850,0.57605
2,1,750,0.5752
2,1,25,0.56903
3,1,1500,0.4306
3,1,1400,0.42996
3,1,1150,0.42835
3,1,1000,0.42739
3,1,850,0.42642
3,1,750,0.42578
3,1,25,0.42112
4,1,1500,0.5318
4,1,1400,0.53102
4,1,1150,0.52908
4,1,1000,0.52791
4,1,850,0.52675
4,1,750,0.52597
4,1,25,0.52033
5,1,1500,0.45517
5,1,1400,0.45445
5,1,1150,0.45265
5,1,1000,0.45158
5,1,850,0.4505
5,1,750,0.44978
5,1,25,0.44457
6,1,1500,0.53651
6,1,1400,0.53555
6,1,1150,0.53315
6,1,1000,0.5317
6,1,850,0.53026
6,1,750,0.5293
6,1,25,0.52233
7,1,1500,0.43783
7,1,1400,0.43747
7,1,1150,0.43658
7,1,1000,0.43605
7,1,850,0.43551
7,1,750,0.43516
7,1,25,0.43257
8,1,1500,0.43055
8,1,1400,0.43012
8,1,1150,0.42904
8,1,1000,0.42839
8,1,850,0.42775
8,1,750,0.42732
8,1,25,0.42419
9,1,1500,0.42624
9,1,1400,0.42567
9,1,1150,0.42424
9,1,1000,0.42338
9,1,850,0.42252
9,1,750,0.42195
9,1,25,0.41796
10,1,1500,0.42271
10,1,1400,0.42242
10,1,1150,0.42165
10,1,1000,0.42118
10,1,850,0.42072
10,1,750,0.42041
10,1,25,0.41819
11,1,1500,0.41907
11,1,1400,0.41873
11,1,1150,0.41786
11,1,1000,0.41734
11,1,850,0.41683
11,1,750,0.41648
11,1,25,0.41398
12,1,1500,0.3696
12,1,1400,0.36874
12,1,1150,0.36662
12,1,1000,0.36535
12,1,850,0.36408
12,1,750,0.36323
12,1,25,0.36456
13,2,1500,0.29474
13,2,1400,0.29413
13,2,1150,0.2926
13,2,1000,0.29169
13,2,850,0.29077
13,2,750,0.29016
13,2,25,0.286
14,2,1500,0.29289
14,2,1400,0.2925
14,2,1150,0.29143
14,2,1000,0.29079
14,2,850,0.29015
14,2,750,0.28972
14,2,25,0.28665
15,3,1500,0.48224
15,3,1400,0.48181
15,3,1150,0.48073
15,3,1000,0.48009
15,3,850,0.47944
15,3,750,0.47901
15,3,25,0.47589
16,3,1500,0.51251
16,3,1400,0.51206
16,3,1150,0.51093
16,3,1000,0.51025
16,3,850,0.50957
16,3,750,0.50912
16,3,25,0.50584
17,4,1500,0.4655
17,4,1400,0.465078861
17,4,1150,0.464026013
17,4,1000,0.463394305
17,4,850,0.462762596
17,4,750,0.462341457
17,4,25,0.45937
18,5,1500,0.50173
18,5,1400,0.501426986
18,5,1150,0.500669449
18,5,1000,0.500214928
18,5,850,0.499760406
18,5,750,0.499457392
18,5,25,0.4973
